Period,Time Period,Prior,Posterior,DOFS
1,9/01 > 9/28,1.11,1.37,11.7
2,9/29 > 10/26,1.303,0.98,7.5
3,10/27 > 11/23,1,1.36,10.7
4,11/24 > 12/21,1.41,1.66,16
5,12/22 > 1/18,1.69,1.71,10.8
6,1/19 > 2/15,1.69,1.49,11.4
7,2/16 > 3/15,1.46,1.36,10.3
8,3/16 > 4/12,1.38,1.5,6.8
9,4/13 > 5/10,1.55,1.62,7.8
10,5/11 > 6/7,1.66,1.78,8.2
11,6/8 > 7/5,1.77,1.83,9.8
12,7/6 > 8/2,1.8,1.47,7.77
13,8/3 > 8/30,1.4,1.56,5.53
14,8/31 > 9/27,1.51,1.24,11.4
15,9/28 > 10/25,1.22,1.45,13.62
16,10/26 > 11/22,1.46,1.44,13.4
17,11/23 > 12/20,1.49,2.47,16.5
